match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2022-0083,2022,2022-11-25,Group stage,Qatar,Senegal,Home,Mohammed Muntari,78,78,False,1
2022-0083,2022,2022-11-25,Group stage,Senegal,Qatar,Away,Boulaye Dia,41,41,False,1
2022-0083,2022,2022-11-25,Group stage,Senegal,Qatar,Away,Famara Diedhiou,48,48,False,2
2022-0083,2022,2022-11-25,Group stage,Senegal,Qatar,Away,Bamba Dieng,84,84,False,3
2022-0084,2022,2022-11-25,Group stage,Netherlands,Ecuador,Home,Cody Gakpo,6,6,False,1
2022-0084,2022,2022-11-25,Group stage,Ecuador,Netherlands,Away,Enner Valencia,49,49,False,1
2022-0086,2022,2022-11-24,Group stage,Switzerland,Cameroon,Home,Breel Embolo,48,48,False,1
2022-0088,2022,2022-11-24,Group stage,Portugal,Ghana,Home,João Félix,78,78,False,1
2022-0088,2022,2022-11-24,Group stage,Portugal,Ghana,Home,Rafael Leão,80,80,False,2
2022-0088,2022,2022-11-24,Group stage,Portugal,Ghana,Home,Cristiano Ronaldo,65,65,False,3
2022-0088,2022,2022-11-24,Group stage,Ghana,Portugal,Away,André Ayew,73,73,False,1
2022-0088,2022,2022-11-24,Group stage,Ghana,Portugal,Away,Osman Bukari,89,89,False,2
2022-0089,2022,2022-11-24,Group stage,Brazil,Serbia,Home,Richarlison,62,62,False,1
2022-0089,2022,2022-11-24,Group stage,Brazil,Serbia,Home,Richarlison,73,73,False,2
2022-0091,2022,2022-11-23,Group stage,Germany,Japan,Home,lkay Gündoan,33,33,False,1
2022-0091,2022,2022-11-23,Group stage,Japan,Germany,Away,Ritsu Doan,75,75,False,1
2022-0091,2022,2022-11-23,Group stage,Japan,Germany,Away,Takuma Asano,83,83,False,2
2010-0092,2010,2010-06-20,Group stage,Italy,New Zealand,Home,Vincenzo Iaquinta,29,29,False,1
2010-0092,2010,2010-06-20,Group stage,New Zealand,Italy,Away,Shane Smeltz,7,7,False,1
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Dani Olmo,11,11,False,1
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Marco Asensio,21,21,False,2
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Ferrán Torres,54,54,False,3
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Gavi,74,74,False,4
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Carlos Soler,90,90,False,5
