home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
England,Trinidad and Tobago,2,0,0,0,41000,"Max-Morlock-Stadion, Nürnberg",Group stage,2006-06-15,Germany,2006,"Peter Crouch@83,Steven Gerrard@90+1",,0,0,2006-0777,2,2-0,2,False,Group,2000s,Max-Morlock-Stadion,Nürnberg,England,Home win
Brazil,Wales,1,0,0,0,25923,"Nya Ullevi, Gothenburg",Quarter-finals,1958-06-19,Sweden,1958,Pelé@66,,0,0,1958-0778,1,1-0,1,False,Knockout,1950s,Nya Ullevi,Gothenburg,Brazil,Home win
Sweden,Soviet Union,2,0,0,0,31900,"Rasunda Stadium, Solna",Quarter-finals,1958-06-19,Sweden,1958,"Kurt Hamrin@49,Agne Simonsson@88",,0,0,1958-0779,2,2-0,2,False,Knockout,1950s,Rasunda Stadium,Solna,Sweden,Home win
Northern Ireland,Czechoslovakia,2,0,1,0,6196,"Malmo Stadion, Malmï¿½",Group stage play-off,1958-06-17,Sweden,1958,"Peter McParland@44,Peter McParland@99",Zdenk Zikán@19,0,0,1958-0780,3,2-1,1,False,Group,1950s,Malmo Stadion,Malmï¿½,Northern Ireland,Home win
Wales,Hungary,2,0,1,0,2823,"Rasunda Stadium, Solna",Group stage play-off,1958-06-17,Sweden,1958,"Ivor Allchurch@55,Terry Medwin@76",Lajos Tichy@33,0,0,1958-0781,3,2-1,1,False,Group,1950s,Rasunda Stadium,Solna,Wales,Home win
Soviet Union,England,1,0,0,0,23182,"Nya Ullevi, Gothenburg",Group stage play-off,1958-06-17,Sweden,1958,Anatoli Ilyin@68,,0,0,1958-0782,1,1-0,1,False,Group,1950s,Nya Ullevi,Gothenburg,Soviet Union,Home win
Sweden,Wales,0,0,0,0,30287,"Rasunda Stadium, Solna",Group stage,1958-06-15,Sweden,1958,,,0,0,1958-0783,0,0-0,0,False,Group,1950s,Rasunda Stadium,Solna,Draw,Draw
Paraguay,Yugoslavia,3,0,3,0,13103,"Tunavallen, Eskilstuna",Group stage,1958-06-15,Sweden,1958,"José Parodi@20,Juan Bautista Agüero@49,Jorge Lino Romero@80","Radivoje Ognjanovi@12,Todor Veselinovi@29,Zdravko Rajkov@73",0,0,1958-0784,6,3-3,0,False,Group,1950s,Tunavallen,Eskilstuna,Draw,Draw
West Germany,Northern Ireland,2,0,2,0,21990,"Malmo Stadion, Malmï¿½",Group stage,1958-06-15,Sweden,1958,"Helmut Rahn@20,Uwe Seeler@79","Peter McParland@19,Peter McParland@60",0,0,1958-0785,4,2-2,0,False,Group,1950s,Malmo Stadion,Malmï¿½,Draw,Draw
Czechoslovakia,Argentina,6,0,1,0,16418,"Olympia Stadium, Helsingborg",Group stage,1958-06-15,Sweden,1958,"Milan Dvoák@8,Zdenk Zikán@17,Zdenk Zikán@40,Jií Feureisl@69,Václav Hovorka@82,Václav Hovorka@89",Oreste Corbatta@65,0,0,1958-0786,7,6-1,5,False,Group,1950s,Olympia Stadium,Helsingborg,Czechoslovakia,Home win
England,Austria,2,0,2,0,15872,"Ryavallen, Boras",Group stage,1958-06-15,Sweden,1958,"Johnny Haynes@56,Derek Kevan@73","Karl Koller@16,Alfred Körner@70",0,0,1958-0787,4,2-2,0,False,Group,1950s,Ryavallen,Boras,Draw,Draw
Brazil,Soviet Union,2,0,0,0,50928,"Nya Ullevi, Gothenburg",Group stage,1958-06-15,Sweden,1958,"Vavá@3,Vavá@77",,0,0,1958-0788,2,2-0,2,False,Group,1950s,Nya Ullevi,Gothenburg,Brazil,Home win
Hungary,Mexico,4,0,0,0,13300,"Jarnvallen, Sandviken",Group stage,1958-06-15,Sweden,1958,"Lajos Tichy@19,Lajos Tichy@46,Károly Sándor@54,József Bencsics@69",,0,0,1958-0789,4,4-0,4,False,Group,1950s,Jarnvallen,Sandviken,Hungary,Home win
France,Scotland,2,0,1,0,13554,"Eyravallen, Orebro",Group stage,1958-06-15,Sweden,1958,"Raymond Kopa@22,Just Fontaine@44",Sammy Baird@66,0,0,1958-0790,3,2-1,1,False,Group,1950s,Eyravallen,Orebro,France,Home win
Sweden,Hungary,2,0,1,0,38850,"Rasunda Stadium, Solna",Group stage,1958-06-12,Sweden,1958,"Kurt Hamrin@34,Kurt Hamrin@55",Lajos Tichy@77,0,0,1958-0791,3,2-1,1,False,Group,1950s,Rasunda Stadium,Solna,Sweden,Home win
Soviet Union,Austria,2,0,0,0,21239,"Ryavallen, Boras",Group stage,1958-06-11,Sweden,1958,"Anatoli Ilyin@15,Valentin Kozmich Ivanov@63",,0,0,1958-0792,2,2-0,2,False,Group,1950s,Ryavallen,Boras,Soviet Union,Home win
West Germany,Czechoslovakia,2,0,2,0,25000,"Olympia Stadium, Helsingborg",Group stage,1958-06-11,Sweden,1958,"Hans Schäfer@59,Helmut Rahn@70","Zdenk Zikán@43,Milan Dvoák@24",0,0,1958-0793,4,2-2,0,False,Group,1950s,Olympia Stadium,Helsingborg,Draw,Draw
Argentina,Northern Ireland,3,0,1,0,14174,"Orjans Vall, Halmstad",Group stage,1958-06-11,Sweden,1958,"Norberto Menéndez@55,Ludovico Avio@59,Oreste Corbatta@38",Peter McParland@3,0,0,1958-0794,4,3-1,2,False,Group,1950s,Orjans Vall,Halmstad,Argentina,Home win
Yugoslavia,France,3,0,2,0,12217,"Arosvallen, Vasteras",Group stage,1958-06-11,Sweden,1958,"Aleksandar Petakovi@16,Todor Veselinovi@63,Todor Veselinovi@88","Just Fontaine@4,Just Fontaine@85",0,0,1958-0795,5,3-2,1,False,Group,1950s,Arosvallen,Vasteras,Yugoslavia,Home win
Paraguay,Scotland,3,0,2,0,11665,"Idrottsparken, Norrkï¿½Ping",Group stage,1958-06-11,Sweden,1958,"Juan Bautista Agüero@4,Cayetano Ré@45,José Parodi@73","Jackie Mudie@24,Bobby Collins@76",0,0,1958-0796,5,3-2,1,False,Group,1950s,Idrottsparken,Norrkï¿½Ping,Paraguay,Home win
Brazil,England,0,0,0,0,40895,"Nya Ullevi, Gothenburg",Group stage,1958-06-11,Sweden,1958,,,0,0,1958-0797,0,0-0,0,False,Group,1950s,Nya Ullevi,Gothenburg,Draw,Draw
Mexico,Wales,1,0,1,0,15150,"Rasunda Stadium, Solna",Group stage,1958-06-11,Sweden,1958,Jaime Belmonte@89,Ivor Allchurch@32,0,0,1958-0798,2,1-1,0,False,Group,1950s,Rasunda Stadium,Solna,Draw,Draw
Sweden,Mexico,3,0,0,0,34107,"Rasunda Stadium, Solna",Group stage,1958-06-08,Sweden,1958,"Agne Simonsson@17,Agne Simonsson@64,Nils Liedholm@57",,0,0,1958-0799,3,3-0,3,False,Group,1950s,Rasunda Stadium,Solna,Sweden,Home win
